T2,T3,T4,T5,T6,T7,T8
0.145501336,0.107810851,0.115853786,0.342094359,0.194156285,0.188978908,0.235800743
0.099443738,0.08873702,0.138922985,0.347062351,0.262311268,0.260687441,0.277844468
0.094685648,0.077431599,0.150886818,0.352895967,0.289710012,0.28927776,0.296465144
0.098824554,0.07466494,0.156594864,0.356561989,0.301733644,0.301755853,0.305131981
0.103399757,0.076037701,0.160275543,0.359579831,0.307928308,0.308114939,0.310103047
0.107323496,0.078948239,0.163544737,0.362359024,0.312002848,0.312248562,0.313728575
0.110876444,0.082365857,0.166813252,0.365025341,0.315293011,0.315560362,0.316845273
0.114312579,0.085957596,0.170135009,0.367640065,0.318278481,0.318553363,0.319760828
0.117736503,0.089626662,0.173498661,0.37023854,0.321143361,0.321419961,0.322598676
0.121178508,0.093343758,0.176893541,0.372839638,0.323965478,0.324241228,0.325412717
0.13096703,0.098819419,0.181591249,0.333744321,0.324340371,0.327053069,0.308117464
0.142364238,0.10756045,0.186207397,0.328592988,0.297053411,0.298538797,0.289867882
0.149509608,0.115908769,0.189196706,0.323687956,0.283127956,0.284127642,0.279534856
0.154350243,0.122879933,0.19215731,0.321765642,0.276048137,0.276765573,0.27453739
0.158236686,0.128625772,0.195312164,0.321715362,0.273034054,0.273583869,0.272753973
0.161804117,0.13354287,0.198604342,0.322757405,0.272421521,0.272872188,0.272862873
0.165292411,0.137965338,0.201967801,0.324439829,0.273217452,0.273609322,0.274081675
0.16877673,0.142113024,0.205368111,0.326503511,0.274841309,0.275197582,0.275954821
0.172275815,0.146115994,0.208793055,0.328798336,0.276956088,0.277290357,0.27821839
0.175793265,0.150048124,0.212240013,0.331236715,0.279366286,0.279686455,0.28071893
0.178300293,0.153695844,0.215556339,0.339911244,0.282317481,0.282268742,0.286329097
0.180627463,0.15683732,0.218926391,0.343576902,0.289448947,0.289577705,0.292137736
0.183677094,0.160063449,0.22253967,0.347241903,0.294630164,0.294825945,0.296806616
0.1871031,0.163529097,0.226165847,0.350517268,0.298846753,0.299078979,0.300737394
0.190687949,0.167203814,0.229783101,0.353564623,0.302515976,0.302767713,0.304246243
0.194336979,0.171023666,0.233405205,0.356491742,0.305881055,0.306142597,0.307523621
0.198017816,0.174938216,0.237043214,0.359358525,0.309082389,0.309348105,0.31067819
0.201721371,0.178915759,0.24070217,0.362198345,0.312199138,0.312465939,0.313771317
0.205445942,0.182938087,0.244383528,0.365029786,0.315275795,0.3155419,0.31683718
0.209190959,0.186995365,0.248087192,0.367863121,0.318337124,0.3186016,0.319895107
0.217165852,0.190401787,0.247510937,0.393437173,0.322726655,0.321659492,0.333916439
0.222808843,0.193543054,0.246284044,0.400070611,0.342248392,0.341877138,0.348293308
0.225762296,0.196506016,0.248703693,0.40638036,0.35391812,0.353818033,0.357937811
0.228772358,0.199577174,0.252345484,0.411074069,0.361724221,0.36177622,0.364601073
0.232230171,0.202965808,0.256292761,0.414866812,0.367334416,0.36746982,0.369577796
0.235990145,0.206679869,0.260263702,0.418214173,0.371743757,0.371922085,0.37365346
0.239890976,0.210640461,0.264206421,0.421355165,0.375530346,0.375729052,0.377272781
0.243844818,0.214761359,0.268131587,0.424407402,0.379010432,0.379217692,0.380673358
0.247817592,0.2189802,0.272056075,0.427426119,0.382348705,0.38255856,0.383976036
0.251800779,0.223258894,0.275991036,0.430436966,0.385627077,0.385836579,0.387240213
0.254942988,0.226121402,0.276891203,0.468784855,0.39095113,0.389092679,0.407530142
0.25582202,0.227115264,0.278064273,0.474324658,0.419222844,0.418623526,0.426529062
0.257758614,0.22858963,0.282616414,0.479405453,0.432733001,0.432584999,0.436698266
0.261196359,0.231199958,0.28743816,0.483077741,0.440196045,0.440243792,0.442703491
0.26532949,0.234741992,0.291967801,0.486299183,0.445065494,0.445190046,0.446991534
0.269640018,0.238843009,0.296265952,0.489427277,0.448929828,0.449079973,0.450650533
0.273938808,0.243224459,0.300460335,0.49256142,0.452453622,0.4526097,0.454113339
0.278195,0.247731476,0.304628823,0.495717643,0.455884577,0.45603997,0.457531753
0.282424687,0.252292905,0.308804101,0.498892593,0.459303033,0.459455863,0.460951187
0.286647558,0.256881331,0.312996155,0.502081972,0.462730293,0.46288024,0.464382408
0.307183907,0.259162673,0.309178734,0.517249008,0.466870236,0.466317502,0.47359571
0.330945769,0.262379908,0.301949753,0.520773589,0.478608434,0.478502799,0.482032489
0.344411057,0.267204191,0.299843833,0.524962016,0.485323421,0.485339298,0.487831935
0.35277539,0.272305977,0.300585633,0.528854008,0.490429172,0.490493815,0.492558487
0.358705584,0.277276545,0.302939724,0.532487311,0.494827665,0.494916934,0.496755858
0.363541676,0.282062948,0.306184382,0.535924886,0.498833656,0.498937429,0.500636273
0.367929069,0.28671625,0.309901138,0.539232314,0.502592181,0.502704488,0.504313815
0.372159892,0.291297352,0.31385724,0.542463665,0.506193957,0.506310576,0.507865643
0.3763555,0.2958502,0.317929816,0.54565727,0.509702579,0.509820663,0.511346206
0.380559439,0.300400538,0.322058543,0.54883703,0.513162305,0.513279842,0.514791962
0.367900481,0.309675332,0.334764369,0.51581886,0.514484141,0.51671679,0.500772516
0.356740023,0.317988702,0.350716405,0.514089215,0.492119534,0.493192214,0.486931505
0.357064903,0.324082885,0.359881009,0.512029323,0.482516712,0.483172754,0.480398515
0.360951156,0.32976772,0.365898421,0.51230244,0.478724699,0.479149038,0.478305368
0.36559887,0.33529727,0.370638024,0.514022757,0.478230082,0.47852016,0.478787169
0.370220268,0.340644121,0.374960032,0.516541294,0.479624789,0.479838171,0.480730166
0.374701566,0.345803877,0.379202904,0.519476064,0.48207272,0.482243461,0.483475142
0.379094072,0.350813998,0.383472349,0.522618514,0.485087196,0.485234498,0.486644012
0.383455717,0.355725131,0.387785823,0.525861816,0.48839544,0.488529722,0.490029739
0.387819824,0.360581224,0.392135373,0.52915467,0.49185218,0.491978846,0.493524524
0.38900821,0.363360021,0.393524126,0.579309993,0.498122467,0.495505195,0.519656799
0.387628417,0.363307911,0.395660982,0.584394868,0.534607248,0.533742362,0.54325027
0.38899723,0.364095844,0.401760244,0.589042378,0.550328953,0.550067487,0.554517433
0.392733727,0.366587929,0.407707054,0.592447014,0.558169957,0.55814218,0.560623544
0.397434831,0.370380679,0.412972289,0.595665832,0.563033117,0.563081913,0.564906794
0.402321282,0.374904648,0.417797622,0.598972677,0.5669513,0.56701772,0.568677287
0.407134844,0.379764926,0.422436949,0.602378334,0.570656055,0.570721852,0.572367322
0.411849768,0.384755585,0.427027009,0.605843307,0.574358531,0.574420013,0.576082814
0.416502783,0.389789774,0.431621143,0.609337574,0.578095359,0.578152583,0.579831307
0.421130239,0.394838193,0.436232539,0.612845687,0.581859308,0.581912964,0.583601956
0.412026975,0.406131477,0.456422792,0.497339003,0.578679828,0.585690629,0.529998782
0.416625844,0.419739796,0.482679141,0.458027625,0.493668396,0.498292918,0.462721483
0.431447638,0.434415853,0.498770828,0.412154441,0.428943032,0.432735757,0.404356322
0.445451553,0.449625779,0.51034228,0.373039375,0.376007354,0.379218556,0.355906578
0.457126026,0.463979129,0.519959199,0.340879834,0.332509181,0.335243639,0.316086507
0.467017635,0.476926129,0.528525437,0.314638655,0.296874808,0.299212297,0.283512149
0.475708173,0.488464477,0.536335619,0.293326484,0.267791284,0.26979827,0.256973109
0.483543535,0.498779175,0.543518729,0.276111069,0.244155388,0.245887334,0.235452042
0.490717967,0.508076781,0.550169225,0.262302039,0.225048086,0.22655098,0.218102654
0.497356233,0.516537273,0.55637245,0.251326054,0.209706069,0.211018138,0.204222279
0.502238519,0.519260821,0.525695562,0.554927075,0.215753574,0.198648538,0.343765228
0.47609553,0.502783924,0.498619151,0.58696762,0.431310544,0.424435595,0.484053822
0.459752328,0.484297119,0.503709046,0.614119747,0.528073458,0.525001789,0.552749416
0.45815273,0.474541403,0.511754502,0.626995019,0.573332271,0.572028628,0.584958887
0.462284915,0.47237349,0.518309376,0.634232477,0.594883652,0.594353505,0.600792159
0.467618739,0.474468993,0.523808332,0.639376232,0.606176914,0.605968688,0.609694474
0.472899742,0.478530666,0.528907925,0.643716812,0.613209644,0.613131528,0.615747628
0.477995396,0.483408524,0.53390472,0.647731226,0.618500838,0.618474434,0.620637451
0.482986165,0.488610763,0.538888713,0.651608207,0.623079271,0.623072585,0.625049088
0.487936798,0.49394401,0.543878331,0.655427328,0.627363228,0.62736325,0.629262881
0.492252816,0.498103834,0.546176561,0.689437989,0.633292424,0.631526804,0.647963229
0.494288427,0.500525393,0.549098179,0.693730913,0.658570572,0.657971555,0.664654658
0.497797168,0.503648662,0.554795168,0.697915988,0.669915481,0.669700336,0.673157516
0.502652949,0.508016927,0.560343003,0.701687744,0.676353995,0.676270515,0.678608812
0.507826795,0.513129595,0.565598151,0.705472763,0.681143418,0.681097435,0.683102634
0.51297262,0.51855053,0.570735567,0.70930675,0.685457876,0.685419367,0.687340785
0.518060323,0.524071919,0.575848737,0.713164785,0.689656463,0.689617331,0.691522049
0.523120195,0.52962156,0.580964623,0.717031418,0.693832567,0.693791097,0.695694042
0.528173063,0.535179782,0.586086909,0.72090184,0.698006469,0.697962193,0.699866507
0.533227066,0.540743235,0.59121482,0.724775615,0.702182416,0.702135332,0.704041643
0.563945068,0.548692251,0.596446112,0.607260777,0.699262351,0.706311298,0.649690389
0.607141224,0.56470455,0.60064961,0.568061619,0.612942447,0.617524008,0.581698953
0.637177093,0.584168894,0.602905364,0.52284616,0.547974333,0.551669731,0.523486535
0.658071832,0.604016008,0.604958041,0.484939354,0.495620845,0.498693027,0.475918286
0.672877534,0.622689699,0.607450038,0.454400662,0.453332252,0.455896125,0.437531124
0.683762715,0.639543715,0.610529539,0.430055928,0.419368588,0.421512827,0.406782298
0.692195583,0.654442025,0.614132731,0.410787835,0.392265262,0.394064936,0.382315897
0.699130331,0.667509151,0.618127529,0.395657671,0.370782979,0.372300668,0.362987134
0.705165222,0.678978856,0.622380099,0.383894761,0.353888484,0.355176031,0.347847178
0.710663379,0.689112738,0.626781243,0.374871475,0.340731052,0.341830944,0.336117936
0.724886152,0.689582149,0.601958064,0.608054623,0.344649392,0.331562682,0.442870534
0.734609263,0.67960104,0.567323618,0.645696693,0.511384293,0.505416085,0.557145181
0.736216056,0.669665764,0.559583262,0.682076361,0.598986569,0.595732557,0.624622758
0.73675525,0.662000738,0.563093935,0.702688251,0.648319606,0.646586397,0.662678426
0.73851142,0.657229403,0.570590485,0.71411195,0.675890193,0.67501276,0.68390375
0.741801113,0.655192079,0.578796733,0.720748813,0.691315459,0.690901639,0.695888743
0.746265561,0.655408054,0.58644942,0.725082398,0.700239007,0.700062903,0.703043627
0.751430508,0.657329438,0.593234718,0.728439815,0.705879939,0.705815895,0.70784325
0.756911626,0.660462543,0.59923157,0.731485639,0.710004475,0.709985891,0.711617514
0.762457304,0.664412879,0.604639947,0.734520679,0.713533142,0.713526931,0.715038834
0.721237501,0.671717319,0.622133382,0.787537756,0.719828113,0.716902523,0.74246754
0.677785758,0.669688784,0.646307183,0.792257844,0.75834757,0.757312203,0.76708637
0.666080046,0.666238414,0.664108433,0.795118141,0.773905215,0.773574402,0.777457031
0.66737843,0.66636984,0.675533639,0.797185757,0.780438533,0.780349939,0.782200083
0.672761668,0.669529105,0.683188848,0.7998375,0.784126152,0.784082666,0.785542517
0.678838399,0.674339366,0.68911471,0.803131957,0.787435653,0.787375926,0.788951737
0.684670713,0.679841292,0.694417767,0.806822682,0.791042617,0.790959232,0.792712644
0.69018004,0.685558565,0.699571087,0.81070112,0.794972827,0.794872335,0.796746194
0.695486602,0.691307857,0.70473042,0.814650096,0.799103652,0.798993152,0.800928559
0.700699259,0.697039989,0.709924471,0.81861831,0.803331324,0.803215155,0.805176295
0.726346787,0.70187934,0.710795933,0.777206379,0.804943468,0.807477381,0.787566049
0.761178799,0.710030728,0.707328706,0.7728897,0.776234287,0.777408787,0.768859416
0.78467201,0.720445461,0.703294729,0.769868506,0.762854152,0.763457527,0.759689014
0.800327966,0.730843661,0.700682477,0.770559897,0.75760926,0.757872812,0.756934609
0.810945065,0.740326269,0.699966183,0.773357526,0.757205516,0.757273237,0.757951796
0.818536009,0.74870033,0.700995916,0.777159451,0.75951242,0.759475919,0.761002888
0.824441591,0.756087853,0.703403152,0.781343943,0.763200195,0.76311406,0.765032038
0.829497109,0.762714649,0.706797256,0.785595768,0.7674928,0.767387127,0.769444774
0.8341878,0.768807576,0.710848108,0.789777783,0.77197407,0.771863824,0.773936239
0.838772658,0.774553521,0.715308215,0.793848306,0.776444963,0.776336435,0.778371919
0.772749333,0.777232701,0.738949403,0.880524373,0.785665817,0.78072373,0.822588697
0.725794907,0.763521417,0.766854798,0.878288864,0.845850639,0.84445585,0.856749101
0.723555962,0.75735566,0.782681536,0.878751298,0.864178676,0.863793381,0.867663949
0.730614338,0.759286043,0.79102472,0.881247682,0.870710265,0.870540793,0.872598401
0.737689564,0.764513186,0.796974827,0.885007779,0.875001769,0.874842928,0.876790037
0.743831802,0.770582256,0.802496089,0.889188336,0.87928211,0.879107511,0.881163645
0.749508302,0.776746338,0.808042566,0.893449634,0.883754418,0.883569752,0.885685439
0.755045649,0.78287568,0.813642381,0.897708163,0.888313984,0.888124538,0.890257047
0.760558574,0.788978234,0.819264696,0.901956781,0.892894303,0.892701792,0.894836355
0.766072066,0.795070325,0.824891472,0.906199861,0.897474779,0.897279518,0.899413306
0.76991061,0.804728308,0.838363149,0.831439367,0.897432487,0.901854258,0.865896718
0.780572199,0.817843567,0.853167525,0.817159742,0.844372605,0.846671258,0.828500422
0.791296455,0.83062733,0.861574328,0.802490554,0.813527105,0.814984945,0.803907836
0.799334394,0.84166069,0.868045411,0.793761154,0.794711212,0.7956427,0.789004538
0.805604046,0.850768271,0.873817851,0.789255741,0.783722094,0.784309549,0.780565951
0.810923103,0.858352934,0.879187242,0.787486455,0.777840771,0.778204449,0.776337386
0.815694256,0.86485814,0.884241837,0.78747057,0.775265177,0.775483896,0.774825355
0.820098689,0.870613711,0.889036137,0.788568722,0.774814424,0.774939785,0.775053998
0.824229359,0.875838552,0.89361262,0.790364533,0.77571813,0.775783683,0.776386572
0.82814155,0.880673926,0.898003872,0.792585613,0.777473817,0.777501489,0.778407119
0.860826628,0.885574386,0.896805006,0.713012486,0.774955451,0.779757435,0.741288181
0.907714791,0.896366029,0.890757143,0.68608305,0.716262499,0.719403892,0.694933784
0.939711866,0.910990813,0.885029896,0.655283774,0.671970674,0.674506359,0.655259542
0.961172684,0.926619087,0.880559896,0.629620237,0.636342983,0.638446263,0.62294777
0.975379744,0.941671845,0.877584746,0.609119401,0.607707932,0.609455992,0.59703408
0.984720041,0.955367224,0.876021041,0.592946029,0.584884161,0.586338754,0.576454301
0.990878371,0.967410351,0.875647087,0.580292865,0.566844625,0.568059276,0.560246636
0.99500961,0.977784693,0.876203751,0.570473473,0.552700868,0.553721105,0.547584435
0.997884115,0.986618957,0.877444901,0.562921362,0.541701609,0.542565423,0.537775089
